entity,tier,ahp_weight
范围,0,0.0
助理,0,0.0
主任,0,0.0
项目,0,0.0
设计,0,0.0
软件,0,0.0
环境,0,0.0
总监,0,0.0
事物,0,0.0
会议,0,0.0
边坡,0,0.0
队长,0,0.0
环节,0,0.0
发展,0,0.0
技术,0,0.0
例会,0,0.0
人员,0,0.0
材料,0,0.0
凡事,0,0.0
命运,0,0.0
周成,0,0.0
文件,0,0.0
问题,0,0.0
谈判,0,0.0
条件,0,0.0
单位,0,0.0
员工,0,0.0
关键,0,0.0
质量,2,0.12
用户,0,0.0
资料,0,0.0
时间,0,0.0
诉求,0,0.0
阶段,0,0.0
句子,0,0.0
系统,0,0.0
管理,0,0.0
工程,0,0.0
父母,0,0.0
内容,0,0.0
手机,0,0.0
二氧化碳,0,0.0
身体,0,0.0
北方,0,0.0
阿尔玛,0,0.0
爸爸,0,0.0
现象,0,0.0
水蒸气,0,0.0
练习,0,0.0
快慢,0,0.0
形容词,0,0.0
浮力,0,0.0
铁块,0,0.0
物体,0,0.0
太阳光,0,0.0
周围,0,0.0
空气,0,0.0
身上,0,0.0
里边,0,0.0
大气,0,0.0
科学家,0,0.0
说明,0,0.0
词语,0,0.0
蜂巢,0,0.0
蜜蜂,0,0.0
重量,0,0.0
温度,0,0.0
人口,0,0.0
物质,0,0.0
东西,0,0.0
介词,0,0.0
分子,1,0.15
原子,1,0.18
速度,3,0.07
之间,0,0.0
语法,0,0.0
词组,0,0.0
变化,0,0.0
形态,0,0.0
氧气,0,0.0
压强,0,0.0
回音壁,0,0.0
容器,0,0.0
时候,0,0.0
把儿,0,0.0
磁性,0,0.0
鱼头,0,0.0
指南针,0,0.0
南极,0,0.0
北极,0,0.0
一头,0,0.0
磁石,0,0.0
方向,0,0.0
重力,3,0.05
地球,0,0.0
万有引力,0,0.0
定律,0,0.0
势能,0,0.0
中国人,0,0.0
引力,0,0.0
地球卫星,0,0.0
人造卫星,0,0.0
气象卫星,0,0.0
卫星,0,0.0
侦察卫星,0,0.0
人类,0,0.0
海水,0,0.0
液体,0,0.0
太阳,0,0.0
压缩,0,0.0
飞行,0,0.0
状态,0,0.0
非金属,0,0.0
金属,0,0.0
命名,0,0.0
名称,0,0.0
元素,2,0.08
电流,0,0.0
膨胀,0,0.0
结构,0,0.0
温度计,0,0.0
仪器,0,0.0
硫酸,0,0.0
蜂窝,0,0.0
形式,0,0.0
关系,0,0.0
通信,0,0.0
雷达,0,0.0
光线,0,0.0
影像,0,0.0
能量,3,0.03
程度,0,0.0
内部,0,0.0
石墨,0,0.0
中国,0,0.0
人造地球卫星,0,0.0
合金,0,0.0
太空,0,0.0
酒精,0,0.0
机能,0,0.0
导体,0,0.0
电阻,0,0.0
输电线,0,0.0
电线,0,0.0
超导体,0,0.0
制造厂,0,0.0
小鸟,0,0.0
红外线,0,0.0
外侧,0,0.0
常用,0,0.0
臭氧层,0,0.0
紫外线,0,0.0
玻璃,0,0.0
房主,0,0.0
计算机,0,0.0
大部分,0,0.0
后面,0,0.0
目镜,0,0.0
光,0,0.0
显微镜,0,0.0
电视机,0,0.0
小数,0,0.0
理论,0,0.0
学派,0,0.0
后人,0,0.0
无理数,0,0.0
荧光粉,0,0.0
宇宙飞船,0,0.0
飞船,0,0.0
各国,0,0.0
台灯,0,0.0
调节器,0,0.0
核能,0,0.0
核燃料,0,0.0
列车,0,0.0
含量,0,0.0
气体,0,0.0
彗星,0,0.0
颗粒,0,0.0
形状,0,0.0
动物,0,0.0
对称,0,0.0
方程,0,0.0
式子,0,0.0
等式,0,0.0
动点,0,0.0
圆心,0,0.0
曲线,0,0.0
坐标,0,0.0
直线,0,0.0
四边形,0,0.0
线段,0,0.0
OA,0,0.0
端点,0,0.0
转化,0,0.0
作用,0,0.0
表面,0,0.0
周长,0,0.0
实验室,0,0.0
步骤,0,0.0
顺序,0,0.0
牛顿,0,0.0
氯酸钾,0,0.0
月球,0,0.0
位置,0,0.0
静止,0,0.0
性质,0,0.0
惯性,0,0.0
炮弹,0,0.0
领域,0,0.0
火箭,0,0.0
外力,0,0.0
运动,0,0.0
数学,0,0.0
自然科学,0,0.0
比值,0,0.0
加速度,2,0.1
作用力,0,0.0
二氧化锰,0,0.0
m1,0,0.0
伦琴,0,0.0
射线,0,0.0
定语,0,0.0
化合物,0,0.0
强度,0,0.0
设备,0,0.0
激光,0,0.0
函数,0,0.0
坐标系,0,0.0
交点,0,0.0
平面,0,0.0
图形,0,0.0
ax²,0,0.0
生物,0,0.0
苹果,0,0.0
电能,0,0.0
超导材料,0,0.0
图像,0,0.0
实数,0,0.0
树木,0,0.0
规律,0,0.0
反应,0,0.0
注释,0,0.0
压力,0,0.0
沸腾,0,0.0
聚变,0,0.0
动植物,0,0.0
化学反应,1,0.2
法拉第,0,0.0
下面,0,0.0
管中,0,0.0
磁场,0,0.0
前人,0,0.0
行为,0,0.0
电,0,0.0
物理学,0,0.0
宇航员,0,0.0
