id:ID,name,:LABEL,level
E0,A,Concept,
E1,Ar,Concept,
E10,H二O,Concept,
E100,具有相同的电子层数的元素按照原子序数递增的顺序排列的一个横行,Concept,
E101,具有相同质子数的一类原子,Concept,
E102,冶金,Concept,
E103,冶金工业还原金属氧化物,Concept,
E104,分子,Section,节
E105,分子中元素原子吸引电子的能力,Concept,
E106,分子发生了变化，变成了其他物质的分子,Concept,
E107,分子型物质中一个分子所包含的各种元素原子的数目,Concept,
E108,分子式,Concept,
E109,分子本身没有变化,Concept,
E11,K L M N O P Q层,Concept,
E110,切割和焊接金属,Concept,
E111,制造氢气球,Concept,
E112,剧毒,Concept,
E113,副族,Concept,
E114,加热,Concept,
E115,加碘食盐,Concept,
E116,化合物,Concept,
E117,化学,Concept,
E118,化学反应,Concept,
E119,化学变化,Concept,
E12,KMnO四,Concept,
E120,化学式,Concept,
E121,化学式与相对分子质量,Section,节
E122,化学式中各原子的相对原子质量的总和,Concept,
E123,化学性质,Concept,
E124,化学方程式,Section,节
E125,化学键,Section,节
E126,十八,Concept,
E127,十八个纵行,Concept,
E128,十六,Concept,
E129,单质,Concept,
E13,K层,Concept,
E130,单质常温下的状态,Concept,
E131,压强一百零一千帕，温度负七十八点五摄氏度,Concept,
E132,原子,Section,节
E133,原子中心,Concept,
E134,原子之间通过共用电子对所形成的相互作用,Concept,
E135,原子半径,Concept,
E136,原子半径的几万分之一,Concept,
E137,原子半径的周期性变化,Concept,
E138,原子失去电子,Concept,
E139,原子序数,Concept,
E14,L层,Concept,
E140,原子得到电子,Concept,
E141,原子核,Concept,
E142,原子核所带的电荷数目,Concept,
E143,原子的种类、数目和质量都不变,Concept,
E144,原子结合成分子时存在,Concept,
E145,原子质量,Concept,
E146,参加化学反应的各物质的质量总和等于反应后生成的各物质的质量总和,Concept,
E147,反应物、生成物和反应条件,Concept,
E148,发出蓝色火焰,Concept,
E149,各物质之间的质量关系,Concept,
E15,Mr,Concept,
E150,各种天然同位素原子所占的百分比,Concept,
E151,合成其他化学物质,Concept,
