:START_ID,:END_ID,:TYPE
E33,E51,毒性原因
E282,E65,生成物
E365,E296,定义
E245,E267,生成物
E389,E67,质量数为
E326,E336,含有
E399,E400,定义
E420,E346,包括
E425,E382,氧的氧化数为
E104,E195,质量为
E96,E193,表明
E267,E35,数量为
E333,E289,属于
E124,E295,定义
E120,E294,定义
E242,E168,具有还原性
E242,E170,具有可燃性
E417,E99,大于
E58,E200,最高正氧化数等于
E242,E151,用途
E104,E195,体积为
E340,E265,分解生成
E118,E143,表明
E274,E319,物质间关系为
E283,E335,主要成分为
E242,E157,收集方法
E18,E226,氧化数为
E242,E203,颜色为
E250,E65,例如
E332,E382,硫酸根的氧化数为
E314,E375,用途
E236,E388,俗称
E211,E253,反应物
E139,E221,等于
E262,E394,表明
E348,E207,条件
E65,E278,用途
E242,E246,属于
E20,E40,最多容纳电子数为
E406,E123,属于
E341,E4,化学式为
E152,E71,金属性递变规律
E210,E65,生成物
E416,E140,形成方式
E242,E350,密度为
E13,E64,最多容纳电子数为
E335,E92,反应条件
E33,E34,属于
E242,E367,定义
E272,E186,汉语名称特征为
E425,E226,钾的氧化数为
E135,E197,影响
E349,E274,属于
E410,E65,反应物
E65,E156,收集方法为
E180,E289,属于
E95,E134,定义
E120,E378,应用于
E23,E68,最多容纳电子数为
E321,E15,符号为
E33,E203,颜色为
E285,E289,属于
E209,E119,属于
E235,E7,符号为
E258,E395,表明
E61,E60,等于
E253,E22,化学式为
E123,E291,定义
E33,E232,状态为
E61,E59,等于
E19,E18,反应物
E242,E253,反应物
E335,E286,反应条件
E379,E376,需要
E249,E81,定义
E165,E187,汉语名称特征为
E242,E224,需要
E335,E49,常温下性质为
E120,E366,表明
E171,E249,包含
E242,E252,反应物
E349,E257,成分为
E425,E12,化学式为
E304,E217,位置为
E287,E292,定义
E258,E301,表明
E56,E419,氧化数代数和为
E65,E340,生成物
E125,E176,表明
E77,E40,最大能容纳电子数为
E145,E141,主要集中于
E422,E130,分类依据为
E210,E114,反应条件
E341,E382,氧的氧化数为
E16,E126,最多容纳电子数为
E25,E63,最多容纳电子数为
E28,E230,硅的氧化数为
E329,E230,硅的氧化数为
E65,E232,状态为
E153,E385,定义为
E171,E132,包含
E89,E396,定义为
E389,E62,质子数为
E242,E243,表明
E321,E358,属于
E249,E355,属于
E210,E252,反应物
E199,E127,数量
E255,E394,表明
E258,E263,生成物
E65,E203,颜色为
E261,E196,表明
E371,E393,定义
E242,E418,溶解性为
E287,E109,分子变化为
E239,E226,O的氧化数为
E314,E166,定义
E413,E189,定义
E65,E325,实验室制法反应物
E221,E216,等于
E104,E214,定义
E65,E37,性质为
E65,E343,实验室制法反应
E155,E320,性质为
E65,E347,实验室制法反应物
E116,E297,定义为
E19,E5,反应物
E391,E69,包括
E307,E310,表明
E237,E163,电负性为
E244,E259,反应物
E161,E38,数量
E152,E70,非金属性递变规律
E141,E383,构成
E129,E254,例如
E164,E194,俗称
E33,E252,反应物
E213,E98,定义
E65,E276,导致
E116,E266,例如
E132,E48,电性为
E321,E122,定义
E206,E93,最大能容纳电子数为
E221,E219,等于
E242,E110,用途
E108,E369,定义
E305,E305,俗称
E289,E290,定义
E119,E293,定义
E250,E298,定义为
E65,E265,反应物
E119,E118,俗称
E269,E289,属于
E83,E80,表明
E95,E125,属于
E57,E302,定义
E242,E275,用途
E86,E85,定义
E335,E339,属于
E233,E185,汉语名称特征为
E304,E192,电性为
