subj,rel,obj,teaching_weight,head_tier,tail_tier
范围,包括,工程,0.1,0,0
助理,交,材料,0.1,0,0
主任,阅读,手册,0.1,0,0
项目,采用,系统,0.1,0,0
主任,具有,功能,0.1,0,0
设计,经过,分析,0.1,0,0
软件,减轻,劳动强度,0.1,0,0
主任,提出,要求,0.1,0,0
主任,让,助理,0.1,0,0
环境,产生,吸引力,0.1,0,0
总监,发现,问题,0.1,0,0
事物,作为,基础,0.1,0,0
主任,提醒,助理,0.1,0,0
会议,讨论,问题,0.1,0,0
边坡,分成,部分,0.1,0,0
会议,解决,问题,0.1,0,0
队长,加强,管理,0.1,0,0
助理,发现,问题,0.1,0,0
主任,欢迎,助理,0.1,0,0
助理,谢谢,主任,0.1,0,0
主任,设置,工位,0.1,0,0
环节,出,问题,0.1,0,0
发展,使,地球,0.1,0,0
技术,通过,认证,0.1,0,0
例会,进行,讨论,0.1,0,0
技术,处于,水平,0.1,0,0
人员,保持,联系,0.1,0,0
人员,推动,关系,0.1,0,0
助理,做,检查,0.1,0,0
助理,进行,管理,0.1,0,0
材料,翻译,英语,0.1,0,0
凡事,有,过程,0.1,0,0
命运,取决于,结果,0.1,0,0
周成,提供,信息,0.1,0,0
文件,包括,资料,0.1,0,0
问题,影响,质量,0.1,0,2
谈判,做出,评价,0.1,0,0
条件,进行,磋商,0.1,0,0
单位,通报,情况,0.1,0,0
员工,招聘,人物,0.1,0,0
发展,取决于,人际关系,0.1,0,0
关键,取决于,人际关系,0.1,0,0
质量,有所,差别,0.1,2,0
用户,提供,条件,0.1,0,0
资料,存在,问题,0.1,0,0
时间,出现,索赔,0.1,0,0
诉求,未予,支持,0.1,0,0
问题,承担,责任,0.1,0,0
问题,有,价值,0.1,0,0
单位,受,委托,0.1,0,0
阶段,进行,调查研究,0.1,0,0
设计,涉及,质量,0.1,0,2
句子,包含,关系,0.1,0,0
系统,提供,方便,0.1,0,0
管理,注意,问题,0.1,0,0
工程,需要,合作,0.1,0,0
父母,会,时间,0.1,0,0
内容,包括,方面,0.1,0,0
管理,分为,项目,0.1,0,0
手机,回答,问题,0.1,0,0
二氧化碳,压入,水中,0.1,0,0
身体,吸收,二氧化碳,0.1,0,0
二氧化碳,压,水中,0.1,0,0
北方,获得,太阳,0.1,0,0
阿尔玛,做,练习,0.1,0,0
爸爸,回答,问题,0.1,0,0
现象,叫做,蒸发,0.1,0,0
水蒸气,凝结,水滴,0.1,0,0
练习,得到,结论,0.1,0,0
快慢,有,关系,0.1,0,0
形容词,有,意思,0.1,0,0
二氧化碳,进入,里边,0.1,0,0
浮力,放入,水中,0.1,0,0
铁块,受到,浮力,0.1,0,0
物体,受到,浮力,0.1,0,0
浮力,等于,重量,0.1,0,0
浮力,使,铁块,0.1,0,0
浮力,大于,重量,0.1,0,0
浮力,托,铁块,0.1,0,0
太阳光,直射,南半球,0.1,0,0
周围,覆盖,空气,0.1,0,0
空气,有,压力,0.1,0,0
身上,受到,压力,0.1,0,0
里边,受到,压力,0.1,0,0
物体,受到,压力,0.1,0,0
大气,有,压力,0.1,0,0
句子,常用,呼应,0.1,0,0
科学家,进行,研究,0.1,0,0
问题,得到,解决,0.1,0,0
周围,存在,大气层,0.1,0,0
说明,产生,结果,0.1,0,0
条件,产生,结果,0.1,0,0
物体,沉,水底,0.1,0,0
词语,连成,句子,0.1,0,0
蜂巢,有,关系,0.1,0,0
蜜蜂,做成,结构,0.1,0,0
蜂巢,做成,结构,0.1,0,0
重量,等于,浮力,0.1,0,0
温度,到,16℃,0.1,0,0
人口,说出,答案,0.1,0,0
物质,受到,作用,0.1,0,0
物体,受到,作用,0.1,0,0
东西,改变,性质,0.1,0,0
空气,变成,液体,0.1,0,0
二氧化碳,变成,固体,0.1,0,0
物体,称为,超导体,0.1,0,0
介词,引进,对象,0.1,0,0
分子,看,眼睛,0.1,1,0
分子,分成,原子,1.0,1,1
原子,分成,粒子,0.1,1,0
分子,分解,原子,1.0,1,1
原子,结合,分子,1.0,1,1
分子,呈,气态,0.1,1,0
分子,呈,固态,0.1,1,0
原子,有,性质,0.1,1,0
速度,呈,固态,0.3,3,0
之间,呈,固态,0.1,0,0
语法,表示,关系,0.1,0,0
词组,连接,句子,0.1,0,0
速度,有,关系,0.3,3,0
变化,生,粒子,0.1,0,0
变化,生,例子,0.1,0,0
形态,发生,变化,0.1,0,0
氧气,具有,性质,0.1,0,0
物质,具有,特点,0.1,0,0
压强,具有,规律,0.1,0,0
回音壁,具有,现象,0.1,0,0
容器,节省,材料,0.1,0,0
时候,指,南方,0.1,0,0
把儿,指,南方,0.1,0,0
东西,指示,方向,0.1,0,0
磁性,保持,时间,0.1,0,0
鱼头,指,南方,0.1,0,0
指南针,指示,方向,0.1,0,0
南极,在,附近,0.1,0,0
北极,在,附近,0.1,0,0
一头,指向,南方,0.1,0,0
一头,指,南方,0.1,0,0
练习,改写,句子,0.1,0,0
鱼头,指向,南方,0.1,0,0
磁石,具有,特性,0.1,0,0
方向,在,线上,0.1,0,0
重力,属于,万有引力,0.3,3,0
地球,有,作用,0.1,0,0
万有引力,使,天体,0.1,0,0
定律,应用,领域,0.1,0,0
势能,转化,电能,0.1,0,0
重力,属于,自然界,0.3,3,0
重力,属于,适用,0.3,3,0
重力,属于,实际,0.3,3,0
语法,表示,内容,0.1,0,0
中国人,发现,特性,0.1,0,0
问题,上,月球,0.1,0,0
引力,改写,句子,0.1,0,0
变化,改写,句子,0.1,0,0
压强,乘以,面积,0.1,0,0
地球,具有,吸引力,0.1,0,0
地球卫星,绕,地球,0.1,0,0
引力,起,作用,0.1,0,0
人造卫星,有,速度,0.3,0,3
人造卫星,摆脱,引力,0.1,0,0
气象卫星,选用,轨道,0.1,0,0
卫星,采用,轨道,0.1,0,0
侦察卫星,常用,轨道,0.1,0,0
人类,建造,运载 火箭,0.1,0,0
海水,发生,现象,0.1,0,0
液体,传递,压强,0.1,0,0
太阳,具有,吸引力,0.1,0,0
地球卫星,环绕,地球,0.1,0,0
引力,拉回,地面,0.1,0,0
卫星,选用,轨道,0.1,0,0
压缩,使,温度,0.1,0,0
速度,超过,音速,0.3,3,0
材料,用于,领域,0.1,0,0
物质,伴随,变化,0.1,0,0
飞行,需要,材料,0.1,0,0
状态,发生,变化,0.1,0,0
非金属,发现,元素,0.1,0,2
非金属,有着,差别,0.1,0,0
金属,呈,固态,0.1,0,0
非金属,无,光泽,0.1,0,0
